accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
PR55053134	PR_000	PR307638,PR307641,PR307643,PR307648,PR307651,PR307654,PR307657,PR307659,PR307662,PR307664,PR308759	419.1194997309092	[M+HCOO]-	3515878	C16H22O10	3.1980000000000004
PR31314381	PR_000	PR307637,PR307640,PR307645,PR307647,PR307650,PR307653,PR307656,PR307658,PR307661,PR307663	373.11402039999996	[M-H]-	3515878	C16H22O10	3.1978
PR54988329	PR_000	PR309302	579.1354	[M-H]-	3542481	C26H28O15	3.35
PR71747411	PR_000	PR307095,PR307100,PR307102,PR307105,PR307108,PR307111,PR307113,PR307116,PR307119,PR307122,PR309304	609.1461085889363	[M-H]-	3549960	C27H30O16	3.0775300000000003
PR71762077	PR_000	PR309289	461.1077	[M-H]-	3556303	C22H22O11	3.71
PR52277330	PR_000	PR306149,PR306154,PR306159,PR306164,PR306169,PR306174,PR306179,PR306184,PR306189,PR306194,PR306199,PR306204,PR308796	595.166843551843	[M-H]-	3564542	C27H32O15	3.9208307692307702
PR88004270	PR_000	PR305309,PR305310,PR305311,PR305312,PR305313,PR305314,PR305315,PR305316,PR305317,PR308691	633.400807253047	[M-H]-	3568493	C36H58O9	7.3318747
PR66950220	PR_000	PR304442,PR304446,PR304450,PR304454,PR304457,PR304461,PR304465,PR304469,PR304473,PR304477,PR304480,PR304484,PR308878	383.19763087492	[M-H]-	3582412	C22H28N2O4	4.609661230769231
PR41829145	PR_000	PR304905,PR304908,PR304910,PR304913,PR304916,PR304919,PR304922,PR304925,PR304928,PR304931,PR304934,PR308721	632.3440203703332	[M+HCOO]-	3605588	C33H49NO8	4.00955725
PR61991038	PR_000	PR308007,PR308016,PR308029,PR308744	579.2083135638725	[M+HCOO]-	3660596	C27H34O11	5.1797375
PR33474871	PR_000	PR308006,PR308009,PR308011,PR308013,PR308015,PR308018,PR308020,PR308022,PR308024,PR308026,PR308028,PR308031,PR308742	533.2028357979968	[M-H]-	3660596	C27H34O11	5.179676923076924
PR60919783	PR_000	PR307742	517.35346285183	[M+HCOO]-	3694932	C30H48O4	9.748883
PR57852803	PR_000	PR307694,PR307707,PR307712,PR307716,PR307721,PR307726,PR309422	471.3479830409971	[M-H]-	3694932	C30H48O4	9.749042571428571
PR86028327	PR_000	PR308964	827.2656	[M-H]-	3710145	C30H52O26	1.77
PR33732829	PR_000	PR305928,PR305935,PR305942,PR305949,PR305956,PR305963,PR305970,PR305977,PR305984,PR305991,PR305998,PR306005,PR309186	475.12458552476613	[M+HCOO]-	3733033	C22H22O9	5.030154153846153
PR69721326	PR_000	PR305927,PR305934,PR305941,PR305948,PR305955,PR305962,PR305969,PR305976,PR305983,PR305990,PR305997,PR306004,PR308751	429.1191061672276	[M-H]-	3733033	C22H22O9	5.030154153846153
PR25956049	PR_000	PR304964,PR304966,PR304968,PR304970,PR304972,PR304974,PR304976,PR304978,PR304980,PR304982,PR304984,PR304986,PR308747	621.2606255210738	[M-H]-	3752085	C37H38N2O7	3.9472612307692305
PR20811823	PR_000	PR304784,PR304786,PR304788,PR304790,PR304792,PR304794,PR304796,PR304798,PR304800,PR304802,PR304804,PR304806,PR309451	427.18746013645847	[M-H]-	3753277	C23H28N2O6	4.480861230769231
PR27668955	PR_000	PR307483,PR307484,PR307485,PR307486,PR307487,PR307488,PR307489,PR307490,PR307491,PR307492,PR307493,PR307494,PR309319,PR309320	417.11899858385414	[M-H]-	3794292	C21H22O9	4.146500000000001
PR45302619	PR_000	PR304822,PR304826,PR304830,PR304833,PR304837,PR304841,PR304845,PR304849,PR304853,PR304857,PR304861,PR304865,PR308859	307.14520133645846	[M-H]-	3803978	C19H20N2O2	3.3908769230769233
PR89870816	PR_000	PR305018,PR305020,PR305022,PR305024,PR305026,PR305028,PR305030,PR305032,PR305034,PR305036,PR305038,PR305040,PR308891	708.3964498595354	[M-H]-	3818601	C37H59NO12	4.640353538461539
